date version nhelpfiles nobjects ndatasets Rlines srclines
"2022-05-25" "3.0-0" 258 680 0 37534 1114
"2022-11-06" "3.0-3" 263 692 0 37739 1155
"2023-01-26" "3.1-2" 267 706 0 38848 1155
"2023-02-14" "3.2-0" 269 709 0 38930 1155
"2023-02-15" "3.2-1" 269 709 0 38930 1155
"2023-04-21" "3.2-2" 269 709 0 38944 1155
"2023-04-21" "3.2-3" 269 710 0 38944 1155
"2023-05-13" "3.2-4" 269 710 0 38957 1155
"2023-09-07" "3.2-5" 269 710 0 38974 1155
"2023-09-07" "3.2-6" 269 712 0 38974 1155
"2023-10-22" "3.2-7" 269 712 0 38922 1155
"2023-10-23" "3.2-8" 269 712 0 38922 1155
"2024-01-25" "3.2-8.005" 269 724 0 39028 1155
